inventoryid,store,city,brand,description,size,onhand,price,startdate
1_HARDERSFIELD_2644,1,HARDERSFIELD,2644,Chivas Regal 18-Yr Scotch,750mL,12,74.99,2016-01-01
1_HARDERSFIELD_2645,1,HARDERSFIELD,2645,Chivas Regal,750mL,28,29.99,2016-01-01
1_HARDERSFIELD_2646,1,HARDERSFIELD,2646,Chivas Regal,1.75L,29,54.99,2016-01-01
1_HARDERSFIELD_2648,1,HARDERSFIELD,2648,Chivas Regal,375mL,3,15.99,2016-01-01
1_HARDERSFIELD_2654,1,HARDERSFIELD,2654,Tanqueray Bloomsbury,Liter,33,28.99,2016-01-01
1_HARDERSFIELD_2655,1,HARDERSFIELD,2655,James Oliver Rye Whisky,750mL,11,29.99,2016-01-01
1_HARDERSFIELD_2656,1,HARDERSFIELD,2656,Cutty Sark,1.75L,17,24.99,2016-01-01
1_HARDERSFIELD_2658,1,HARDERSFIELD,2658,Cutty Sark,750mL,8,15.99,2016-01-01
1_HARDERSFIELD_2661,1,HARDERSFIELD,2661,Laphroaig Cask Strength 10Yr,750mL,13,61.99,2016-01-01
1_HARDERSFIELD_2663,1,HARDERSFIELD,2663,Dewars White Label,1.75L,51,29.99,2016-01-01
1_HARDERSFIELD_2664,1,HARDERSFIELD,2664,Firefly Moonshine,750mL,6,14.99,2016-01-01
1_HARDERSFIELD_2665,1,HARDERSFIELD,2665,Dewars White Label,750mL,29,19.99,2016-01-01
1_HARDERSFIELD_2667,1,HARDERSFIELD,2667,Damrak Amsterdam Gin,750mL,3,17.99,2016-01-01
1_HARDERSFIELD_2668,1,HARDERSFIELD,2668,Dewars White Label,375mL,14,13.99,2016-01-01
1_HARDERSFIELD_2670,1,HARDERSFIELD,2670,Metze's Slct Indiana Bourbon,750mL,6,74.99,2016-01-01
1_HARDERSFIELD_2672,1,HARDERSFIELD,2672,Dewars White Label,50mL,7,2.29,2016-01-01
1_HARDERSFIELD_2675,1,HARDERSFIELD,2675,Crown Royal XO,750mL,39,44.99,2016-01-01
1_HARDERSFIELD_2676,1,HARDERSFIELD,2676,Grand MacNish,1.75L,6,14.99,2016-01-01
1_HARDERSFIELD_2678,1,HARDERSFIELD,2678,Michter's Straight Rye,750mL,3,40.99,2016-01-01
1_HARDERSFIELD_2679,1,HARDERSFIELD,2679,Dewars Highlander Honey,750mL,17,19.99,2016-01-01
1_HARDERSFIELD_2682,1,HARDERSFIELD,2682,The Glendronach 12 Yr Scotch,750mL,3,52.99,2016-01-01
1_HARDERSFIELD_2684,1,HARDERSFIELD,2684,"Wemyss ""The Hive""",750mL,6,52.99,2016-01-01
1_HARDERSFIELD_2686,1,HARDERSFIELD,2686,AnCnoc 12 Yr Old Scotch,750mL,6,37.99,2016-01-01
1_HARDERSFIELD_2689,1,HARDERSFIELD,2689,Black Velvet Reserve,1.75L,17,18.99,2016-01-01
1_HARDERSFIELD_2690,1,HARDERSFIELD,2690,Black Velvet Reserve,750mL,49,9.99,2016-01-01
1_HARDERSFIELD_2692,1,HARDERSFIELD,2692,Glenmorangie 10 Yr Scotch,750mL,20,34.99,2016-01-01
1_HARDERSFIELD_2694,1,HARDERSFIELD,2694,Glenmorangie LaSanta,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2696,1,HARDERSFIELD,2696,McClelland Highland Sgl Malt,1.75L,1,33.99,2016-01-01
1_HARDERSFIELD_2704,1,HARDERSFIELD,2704,Serpent's Bite Cider Whiskey,50mL,33,0.99,2016-01-01
1_HARDERSFIELD_2711,1,HARDERSFIELD,2711,Grant's Ale Cask Finish,750mL,20,19.99,2016-01-01
1_HARDERSFIELD_2713,1,HARDERSFIELD,2713,Inver House Green Plaid 3-Y,1.75L,15,13.99,2016-01-01
1_HARDERSFIELD_2714,1,HARDERSFIELD,2714,Glenfiddich The Original,750mL,4,99.99,2016-01-01
1_HARDERSFIELD_2715,1,HARDERSFIELD,2715,Teeling Single Grain Whiskey,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2717,1,HARDERSFIELD,2717,Big Peat Scotch,750mL,3,60.99,2016-01-01
1_HARDERSFIELD_2721,1,HARDERSFIELD,2721,Johnnie Walker Green Label,750mL,8,59.99,2016-01-01
1_HARDERSFIELD_2722,1,HARDERSFIELD,2722,J & B Rare,750mL,9,21.99,2016-01-01
1_HARDERSFIELD_2723,1,HARDERSFIELD,2723,J & B Rare,1.75L,25,29.99,2016-01-01
1_HARDERSFIELD_2727,1,HARDERSFIELD,2727,Grand Macnish Black Edition,750mL,5,24.99,2016-01-01
1_HARDERSFIELD_2733,1,HARDERSFIELD,2733,GlenDronach Tawny Port 15 Yr,750mL,10,78.99,2016-01-01
1_HARDERSFIELD_2734,1,HARDERSFIELD,2734,Nikka Pure Malt whiskey,750mL,0,68.99,2016-01-01
1_HARDERSFIELD_2737,1,HARDERSFIELD,2737,Teeling Irish Whiskey,750mL,0,34.99,2016-01-01
1_HARDERSFIELD_2739,1,HARDERSFIELD,2739,Bruichladdich Rocks Sngl Mlt,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2740,1,HARDERSFIELD,2740,GlenDronach 15 Yr Scotch,750mL,8,91.99,2016-01-01
1_HARDERSFIELD_2748,1,HARDERSFIELD,2748,Johnnie Walker Blue Label,1.75L,6,319.99,2016-01-01
1_HARDERSFIELD_2749,1,HARDERSFIELD,2749,John Begg Blue Cap,1.75L,6,16.99,2016-01-01
1_HARDERSFIELD_2751,1,HARDERSFIELD,2751,Johnnie Walker Black Label,375mL,1,19.99,2016-01-01
1_HARDERSFIELD_2752,1,HARDERSFIELD,2752,Johnnie Walker Black Label,750mL,16,34.99,2016-01-01
1_HARDERSFIELD_2753,1,HARDERSFIELD,2753,Johnnie Walker Black Label,1.75L,38,61.99,2016-01-01
1_HARDERSFIELD_2755,1,HARDERSFIELD,2755,Johnnie Walker Red Label,750mL,24,24.99,2016-01-01
1_HARDERSFIELD_2756,1,HARDERSFIELD,2756,Jameson Caskmates,750mL,18,29.99,2016-01-01
1_HARDERSFIELD_2757,1,HARDERSFIELD,2757,Johnnie Walker Red Label,1.75L,51,29.99,2016-01-01
1_HARDERSFIELD_2759,1,HARDERSFIELD,2759,Johnnie Walker Red Label,375mL,20,13.99,2016-01-01
1_HARDERSFIELD_2760,1,HARDERSFIELD,2760,Jack Daniels Tennessee Honey,1.75L,32,36.99,2016-01-01
1_HARDERSFIELD_2767,1,HARDERSFIELD,2767,Johnnie Walker Blue Label,750mL,6,189.99,2016-01-01
1_HARDERSFIELD_2769,1,HARDERSFIELD,2769,Laphroaig Quarter Cask,750mL,12,52.99,2016-01-01
1_HARDERSFIELD_2770,1,HARDERSFIELD,2770,Hudson Single Malt Whiskey,375mL,25,39.99,2016-01-01
1_HARDERSFIELD_2772,1,HARDERSFIELD,2772,Talisker Storm Scotch,750mL,5,59.99,2016-01-01
1_HARDERSFIELD_2779,1,HARDERSFIELD,2779,Wicked 87 Whiskey,750mL,12,19.99,2016-01-01
1_HARDERSFIELD_2780,1,HARDERSFIELD,2780,Bulleit 10 Yr Old Bourbon,750mL,19,38.99,2016-01-01
1_HARDERSFIELD_2783,1,HARDERSFIELD,2783,Lauders Scotch,1.75L,16,13.99,2016-01-01
1_HARDERSFIELD_2787,1,HARDERSFIELD,2787,Glenrothes Vintage Rsv,750mL,6,43.99,2016-01-01
1_HARDERSFIELD_2788,1,HARDERSFIELD,2788,Laphroaig 10 Yr Single Malt,750mL,18,39.99,2016-01-01
1_HARDERSFIELD_2792,1,HARDERSFIELD,2792,Jim Beam Apple,50mL,3,0.99,2016-01-01
1_HARDERSFIELD_2793,1,HARDERSFIELD,2793,Camus Elegance VS Cognac,750mL,2,21.99,2016-01-01
1_HARDERSFIELD_2794,1,HARDERSFIELD,2794,Bird Dog Bourbon,750mL,0,14.99,2016-01-01
1_HARDERSFIELD_2795,1,HARDERSFIELD,2795,George Dickel Rye,750mL,2,23.99,2016-01-01
1_HARDERSFIELD_2797,1,HARDERSFIELD,2797,Wicked 87 Whiskey,50mL,0,0.99,2016-01-01
1_HARDERSFIELD_2800,1,HARDERSFIELD,2800,Laphroaig 15 Yr Single Malt,750mL,2,81.99,2016-01-01
1_HARDERSFIELD_2801,1,HARDERSFIELD,2801,Tullamore Dew 10 Yr Old,750mL,0,39.99,2016-01-01
1_HARDERSFIELD_2802,1,HARDERSFIELD,2802,SW4 London Dry Gin,750mL,6,24.99,2016-01-01
1_HARDERSFIELD_2803,1,HARDERSFIELD,2803,Bluecoat Gin,750mL,2,25.99,2016-01-01
1_HARDERSFIELD_2808,1,HARDERSFIELD,2808,Uisce Beatha Irish Whisky,750mL,2,29.99,2016-01-01
1_HARDERSFIELD_2812,1,HARDERSFIELD,2812,Hudson Manhattan Rye,375mL,3,39.99,2016-01-01
1_HARDERSFIELD_2814,1,HARDERSFIELD,2814,Hudson Bay Bourbon,375mL,0,39.99,2016-01-01
1_HARDERSFIELD_2815,1,HARDERSFIELD,2815,Benromach 10Yr Single Malt,750mL,4,55.99,2016-01-01
1_HARDERSFIELD_2816,1,HARDERSFIELD,2816,Auchentoshan 12 Yr Sngle Mlt,750mL,2,47.99,2016-01-01
1_HARDERSFIELD_2821,1,HARDERSFIELD,2821,Auchentoshan American Oak,750mL,4,39.99,2016-01-01
1_HARDERSFIELD_2822,1,HARDERSFIELD,2822,James E Pepper 1776 Rye,750mL,13,32.99,2016-01-01
1_HARDERSFIELD_2826,1,HARDERSFIELD,2826,Bowmore Small Batch Sngl Mlt,750mL,6,39.99,2016-01-01
1_HARDERSFIELD_2830,1,HARDERSFIELD,2830,Serpent's Bite Cider Whiskey,750mL,0,13.99,2016-01-01
1_HARDERSFIELD_2834,1,HARDERSFIELD,2834,Old Smuggler P E T,1.75L,13,16.49,2016-01-01
1_HARDERSFIELD_2838,1,HARDERSFIELD,2838,Calumet Bourbon,750mL,2,45.99,2016-01-01
1_HARDERSFIELD_2839,1,HARDERSFIELD,2839,Ardmore Legacy Single Malt,750mL,2,36.99,2016-01-01
1_HARDERSFIELD_2841,1,HARDERSFIELD,2841,High West Double Rye Whiskey,750mL,8,34.99,2016-01-01
1_HARDERSFIELD_2851,1,HARDERSFIELD,2851,Mother's Apple Pie Liqueur,750mL,5,8.99,2016-01-01
1_HARDERSFIELD_2852,1,HARDERSFIELD,2852,Bushmills 10 Yr Irish Whisky,750mL,5,40.99,2016-01-01
1_HARDERSFIELD_2854,1,HARDERSFIELD,2854,Talisker 10-Yr Single Malt,750mL,15,54.99,2016-01-01
1_HARDERSFIELD_2855,1,HARDERSFIELD,2855,Master's London Dry Gin,750mL,22,29.99,2016-01-01
1_HARDERSFIELD_2856,1,HARDERSFIELD,2856,Cragganmore 12-Yr Sngle Malt,750mL,3,55.99,2016-01-01
1_HARDERSFIELD_2859,1,HARDERSFIELD,2859,Bushmills Irish Honey,750mL,0,19.99,2016-01-01
1_HARDERSFIELD_2862,1,HARDERSFIELD,2862,Pinch 15-Yr by Haig & Haig,750mL,8,35.99,2016-01-01
1_HARDERSFIELD_2868,1,HARDERSFIELD,2868,Mortlach Single Malt Scotch,750mL,4,89.99,2016-01-01
1_HARDERSFIELD_2874,1,HARDERSFIELD,2874,Hirsch 20 Yr American Whisky,750mL,30,69.99,2016-01-01
1_HARDERSFIELD_2878,1,HARDERSFIELD,2878,Hudson Four Grain Bourbon,375mL,11,39.99,2016-01-01
1_HARDERSFIELD_2879,1,HARDERSFIELD,2879,Corner Creek Rsv Bourbon,750mL,8,29.99,2016-01-01
1_HARDERSFIELD_2882,1,HARDERSFIELD,2882,Highland Park 18 Yr Single,750mL,2,124.99,2016-01-01
1_HARDERSFIELD_2889,1,HARDERSFIELD,2889,Buchanans Deluxe 12Yr Scotch,750mL,6,32.99,2016-01-01
1_HARDERSFIELD_2890,1,HARDERSFIELD,2890,Four Roses Bourbon,750mL,5,27.99,2016-01-01
1_HARDERSFIELD_2893,1,HARDERSFIELD,2893,Glenmorangie Quinta Ruban,750mL,0,49.99,2016-01-01
1_HARDERSFIELD_2894,1,HARDERSFIELD,2894,Scoresby Rare,1.75L,9,17.99,2016-01-01
1_HARDERSFIELD_2897,1,HARDERSFIELD,2897,Haig Club Scotch,750mL,3,59.99,2016-01-01
1_HARDERSFIELD_2898,1,HARDERSFIELD,2898,Scoresby Rare,750mL,8,7.99,2016-01-01
1_HARDERSFIELD_2899,1,HARDERSFIELD,2899,Laphroiag Select Single Malt,750mL,4,52.99,2016-01-01
1_HARDERSFIELD_2902,1,HARDERSFIELD,2902,Stranahan's Colorado Whiskey,750mL,11,46.99,2016-01-01
1_HARDERSFIELD_2906,1,HARDERSFIELD,2906,Usquaebach Old Rare Whisky,750mL,8,99.99,2016-01-01
1_HARDERSFIELD_2909,1,HARDERSFIELD,2909,Lot No 40 Canadian Rye,750mL,3,59.99,2016-01-01
1_HARDERSFIELD_2912,1,HARDERSFIELD,2912,Platte Valley KY Moonshine,750mL,4,16.99,2016-01-01
1_HARDERSFIELD_2917,1,HARDERSFIELD,2917,Paddy's Irish Whiskey,750mL,9,19.99,2016-01-01
1_HARDERSFIELD_2920,1,HARDERSFIELD,2920,Old Potrero 18th Century,750mL,5,64.99,2016-01-01
1_HARDERSFIELD_2924,1,HARDERSFIELD,2924,Speyburn 10-Yr Single Malt,750mL,7,23.99,2016-01-01
1_HARDERSFIELD_2926,1,HARDERSFIELD,2926,Teachers Highland Cream,1.75L,11,27.99,2016-01-01
1_HARDERSFIELD_2932,1,HARDERSFIELD,2932,Jameson Black Barrel,750mL,18,31.99,2016-01-01
1_HARDERSFIELD_2935,1,HARDERSFIELD,2935,Talisker 18 Yr Old Scotch,750mL,5,99.99,2016-01-01
1_HARDERSFIELD_2942,1,HARDERSFIELD,2942,Glen Grant 10 Yr Single Malt,750mL,2,35.99,2016-01-01
1_HARDERSFIELD_2944,1,HARDERSFIELD,2944,The Glenlivet Founders Res,750mL,13,44.99,2016-01-01
1_HARDERSFIELD_2946,1,HARDERSFIELD,2946,Highland Park 15 Yr Old,750mL,11,79.99,2016-01-01
1_HARDERSFIELD_2949,1,HARDERSFIELD,2949,Lock Stock & Barrel Rye,750mL,5,94.99,2016-01-01
1_HARDERSFIELD_2951,1,HARDERSFIELD,2951,Old Bushmills Irish Whiskey,1.75L,7,37.99,2016-01-01
1_HARDERSFIELD_2952,1,HARDERSFIELD,2952,Old Bushmills,750mL,16,20.99,2016-01-01
1_HARDERSFIELD_2954,1,HARDERSFIELD,2954,Highland Park 12 Yr Single,750mL,0,46.99,2016-01-01
1_HARDERSFIELD_2956,1,HARDERSFIELD,2956,Vat 69 Gold,1.75L,11,14.99,2016-01-01
1_HARDERSFIELD_2957,1,HARDERSFIELD,2957,Glenfarclas 12-Yr Scotch,750mL,8,35.99,2016-01-01
1_HARDERSFIELD_2958,1,HARDERSFIELD,2958,Dalwhinnie 15-Yr Single Mal,750mL,8,57.99,2016-01-01
1_HARDERSFIELD_2960,1,HARDERSFIELD,2960,The Macallan Fine Oak 15 Yr,750mL,2,94.99,2016-01-01
1_HARDERSFIELD_2963,1,HARDERSFIELD,2963,Bruichladdich The Laddie Ten,750mL,0,59.99,2016-01-01
1_HARDERSFIELD_2965,1,HARDERSFIELD,2965,Ardbeg 10 Yr Single Malt Sc,750mL,16,46.99,2016-01-01
1_HARDERSFIELD_2967,1,HARDERSFIELD,2967,3lenfiddich Solera 15 Yr RSV,750mL,3,54.99,2016-01-01
1_HARDERSFIELD_2973,1,HARDERSFIELD,2973,Eagle Rare Single Barrel Bo,750mL,8,26.99,2016-01-01
1_HARDERSFIELD_2975,1,HARDERSFIELD,2975,Bird Dog Blackberry Whiskey,750mL,11,14.99,2016-01-01
1_HARDERSFIELD_2979,1,HARDERSFIELD,2979,Bowmore 12-Yr Scotch,750mL,1,44.99,2016-01-01
1_HARDERSFIELD_2982,1,HARDERSFIELD,2982,Highland Park Dark Origins,750mL,6,72.99,2016-01-01
1_HARDERSFIELD_2985,1,HARDERSFIELD,2985,Gibsons 12YO Gold Canadian W,750mL,7,25.99,2016-01-01
1_HARDERSFIELD_2988,1,HARDERSFIELD,2988,Sauza 901 Silver Tequila,750mL,10,24.99,2016-01-01
1_HARDERSFIELD_2989,1,HARDERSFIELD,2989,The Macallan 18 Yr Old,750mL,2,259.99,2016-01-01
1_HARDERSFIELD_2990,1,HARDERSFIELD,2990,Bulldog Gin,750mL,6,22.99,2016-01-01
1_HARDERSFIELD_2991,1,HARDERSFIELD,2991,Tullibardine Single Malt,750mL,7,49.99,2016-01-01
1_HARDERSFIELD_2992,1,HARDERSFIELD,2992,Hudson Baby Bourbon Whiskey,750mL,6,49.99,2016-01-01
1_HARDERSFIELD_2994,1,HARDERSFIELD,2994,Hudson Manhattan Rye,750mL,6,49.99,2016-01-01
1_HARDERSFIELD_3012,1,HARDERSFIELD,3012,Pinnacle Vodka,50mL,104,0.99,2016-01-01
1_HARDERSFIELD_3016,1,HARDERSFIELD,3016,Bombay Sapphire East Gin,750mL,31,19.99,2016-01-01
1_HARDERSFIELD_3020,1,HARDERSFIELD,3020,Pinnacle Blueberry Vodka,750mL,30,9.99,2016-01-01
1_HARDERSFIELD_3025,1,HARDERSFIELD,3025,Ciroc Snap Frost Vodka,375mL,9,15.49,2016-01-01
1_HARDERSFIELD_3038,1,HARDERSFIELD,3038,Zhenka Raspberry Vodka,1.75L,1,8.99,2016-01-01
1_HARDERSFIELD_3039,1,HARDERSFIELD,3039,Stoli Salted Karamel,750mL,12,16.99,2016-01-01
1_HARDERSFIELD_3040,1,HARDERSFIELD,3040,Tito's Handmade Vodka,Liter,32,22.99,2016-01-01
1_HARDERSFIELD_3041,1,HARDERSFIELD,3041,Zhenka Pink Lemonade Vodka,1.75L,18,10.99,2016-01-01
1_HARDERSFIELD_3042,1,HARDERSFIELD,3042,Ciroc Red Berry Vodka,375mL,17,15.49,2016-01-01
1_HARDERSFIELD_3045,1,HARDERSFIELD,3045,Pinnacle Salted Caramel,750mL,14,10.99,2016-01-01
1_HARDERSFIELD_3046,1,HARDERSFIELD,3046,Ciroc Peach Vodka,1.75L,8,47.99,2016-01-01
1_HARDERSFIELD_3050,1,HARDERSFIELD,3050,Bowman Vodka,1.75L,11,8.99,2016-01-01
1_HARDERSFIELD_3054,1,HARDERSFIELD,3054,Smirnoff Kissed Caramel,750mL,33,10.99,2016-01-01
1_HARDERSFIELD_3058,1,HARDERSFIELD,3058,Three Olives Vodka,50mL,0,0.99,2016-01-01
1_HARDERSFIELD_3061,1,HARDERSFIELD,3061,Absolut Grapevine Vodka,750mL,8,17.99,2016-01-01
1_HARDERSFIELD_3062,1,HARDERSFIELD,3062,Russian Standard Platinum,750mL,13,19.99,2016-01-01
1_HARDERSFIELD_3070,1,HARDERSFIELD,3070,Peligroso Reposado Tequila,750mL,1,21.99,2016-01-01
1_HARDERSFIELD_3072,1,HARDERSFIELD,3072,Ciroc Peach Vodka,750mL,18,24.99,2016-01-01
1_HARDERSFIELD_3079,1,HARDERSFIELD,3079,Devils Spring Vodka,750mL,20,13.99,2016-01-01
1_HARDERSFIELD_3085,1,HARDERSFIELD,3085,Absolut Mini Bar 5/50mls,50mL 5 Pk,0,5.99,2016-01-01
1_HARDERSFIELD_3086,1,HARDERSFIELD,3086,Ciroc Coconut Vodka,1.75L,7,47.99,2016-01-01
1_HARDERSFIELD_3089,1,HARDERSFIELD,3089,Evan Williams Honey Reserve,750mL,11,13.99,2016-01-01
1_HARDERSFIELD_3100,1,HARDERSFIELD,3100,Ciroc Red Berry Vodka,1.75L,10,47.99,2016-01-01
1_HARDERSFIELD_3102,1,HARDERSFIELD,3102,Smirnoff Traveler,1.75L,0,17.99,2016-01-01
1_HARDERSFIELD_3104,1,HARDERSFIELD,3104,Smirnoff Whipped Cream,750mL,9,10.99,2016-01-01
1_HARDERSFIELD_3107,1,HARDERSFIELD,3107,Don Julio 70th Anniversary,750mL,8,65.99,2016-01-01
1_HARDERSFIELD_3123,1,HARDERSFIELD,3123,Booths London Dry Gin,1.75L,9,14.99,2016-01-01
1_HARDERSFIELD_3125,1,HARDERSFIELD,3125,Pinnacle Strawbery Shortcake,750mL,2,9.99,2016-01-01
1_HARDERSFIELD_3133,1,HARDERSFIELD,3133,Svedka Strwbry Lemonad Vodka,750mL,53,10.99,2016-01-01
1_HARDERSFIELD_3137,1,HARDERSFIELD,3137,Three Olives Blueberry Vodka,50mL,23,0.99,2016-01-01
1_HARDERSFIELD_3139,1,HARDERSFIELD,3139,Grey Goose Le Melon,750mL,14,23.99,2016-01-01
1_HARDERSFIELD_3147,1,HARDERSFIELD,3147,Stolichnaya Chocolat Kokonut,50mL,9,0.99,2016-01-01
1_HARDERSFIELD_3150,1,HARDERSFIELD,3150,Svedka Mango Pineapple Vodka,750mL,42,10.99,2016-01-01
1_HARDERSFIELD_3153,1,HARDERSFIELD,3153,Rye Harbor Vodka,750mL,4,17.99,2016-01-01
1_HARDERSFIELD_3154,1,HARDERSFIELD,3154,New Amsterdam Peach Vodka,750mL,24,9.99,2016-01-01
1_HARDERSFIELD_3158,1,HARDERSFIELD,3158,Pinnacle Tropical Punch,1.75L,28,16.99,2016-01-01
1_HARDERSFIELD_3161,1,HARDERSFIELD,3161,New Amsterdam Red Berry,750mL,18,8.99,2016-01-01
1_HARDERSFIELD_3162,1,HARDERSFIELD,3162,Burnett's Peach Vodka,50mL,9,0.99,2016-01-01
1_HARDERSFIELD_3168,1,HARDERSFIELD,3168,Belvedere UF Intense Vodka,750mL,15,25.99,2016-01-01
1_HARDERSFIELD_3172,1,HARDERSFIELD,3172,Skyy Infusions Blood Orange,750mL,2,12.99,2016-01-01
1_HARDERSFIELD_3174,1,HARDERSFIELD,3174,Cold River Vodka,750mL,7,29.99,2016-01-01
1_HARDERSFIELD_3176,1,HARDERSFIELD,3176,Smugglers Notch Vodka,750mL,1,27.99,2016-01-01
1_HARDERSFIELD_3180,1,HARDERSFIELD,3180,New Amsterdam Vodka,1.75L,46,16.99,2016-01-01
1_HARDERSFIELD_3183,1,HARDERSFIELD,3183,Jose Cuervo Tradicional Slvr,750mL,13,19.99,2016-01-01
1_HARDERSFIELD_3189,1,HARDERSFIELD,3189,Skyy Infusions Dragon Fruit,750mL,9,12.99,2016-01-01
1_HARDERSFIELD_3194,1,HARDERSFIELD,3194,Grey Goose Cherry Noir Vodka,750mL,27,23.99,2016-01-01
1_HARDERSFIELD_3197,1,HARDERSFIELD,3197,Pinnacle Vodka 100 Proof,1.75L,15,20.99,2016-01-01
1_HARDERSFIELD_3201,1,HARDERSFIELD,3201,Plymouth Gin,750mL,8,29.99,2016-01-01
1_HARDERSFIELD_3204,1,HARDERSFIELD,3204,Twenty 2 Vodka,750mL,7,21.99,2016-01-01
1_HARDERSFIELD_3209,1,HARDERSFIELD,3209,Hammer & Sickle Vodka,750mL,10,19.99,2016-01-01
1_HARDERSFIELD_3216,1,HARDERSFIELD,3216,Fleischmanns X Dry Gin,1.75L,15,9.99,2016-01-01
1_HARDERSFIELD_3218,1,HARDERSFIELD,3218,Firefly Sweet Tea Vodka,750mL,18,12.99,2016-01-01
1_HARDERSFIELD_3219,1,HARDERSFIELD,3219,Svedka Grapefruit Jalapeno,50mL,56,0.99,2016-01-01
1_HARDERSFIELD_3220,1,HARDERSFIELD,3220,Svedka Clementine Vodka,1.75L,1,18.99,2016-01-01
1_HARDERSFIELD_3221,1,HARDERSFIELD,3221,Pinnacle Raspberry Vodka,750mL,7,9.99,2016-01-01
1_HARDERSFIELD_3227,1,HARDERSFIELD,3227,Taaka Gin,1.75L,26,8.99,2016-01-01
1_HARDERSFIELD_3230,1,HARDERSFIELD,3230,Svedka Grapefruit Jalapeno,750mL,9,9.49,2016-01-01
1_HARDERSFIELD_3231,1,HARDERSFIELD,3231,Pinnacle Tropical Punch Vdka,750mL,7,9.99,2016-01-01
1_HARDERSFIELD_3233,1,HARDERSFIELD,3233,Belvedere Wild Berry,750mL,9,22.99,2016-01-01
1_HARDERSFIELD_3234,1,HARDERSFIELD,3234,Hendrick's Gin,1.75L,31,61.99,2016-01-01
1_HARDERSFIELD_3235,1,HARDERSFIELD,3235,Absolut Berri Acai,750mL,5,17.99,2016-01-01
1_HARDERSFIELD_3237,1,HARDERSFIELD,3237,Firefly Sweet Tea Vodka,1.75L,10,23.99,2016-01-01
1_HARDERSFIELD_3238,1,HARDERSFIELD,3238,Hendrick's Gin,750mL,24,29.99,2016-01-01
1_HARDERSFIELD_3239,1,HARDERSFIELD,3239,Seagram's Red Berry Vodka,750mL,13,9.99,2016-01-01
1_HARDERSFIELD_3243,1,HARDERSFIELD,3243,Burnetts Vodka,1.75L,7,10.49,2016-01-01
1_HARDERSFIELD_3244,1,HARDERSFIELD,3244,Burnetts Vodka,750mL,28,6.79,2016-01-01
1_HARDERSFIELD_3246,1,HARDERSFIELD,3246,Bentley's Vodka,1.75L,9,8.79,2016-01-01
1_HARDERSFIELD_3253,1,HARDERSFIELD,3253,Gilbeys London Dry,1.75L,0,11.99,2016-01-01
1_HARDERSFIELD_3257,1,HARDERSFIELD,3257,Gilbeys London Dry Trav,750mL,6,6.99,2016-01-01
1_HARDERSFIELD_3268,1,HARDERSFIELD,3268,Pinnacle CranApple Vodka,750mL,9,9.99,2016-01-01
1_HARDERSFIELD_3272,1,HARDERSFIELD,3272,Sobieski Vodka,1.75L,7,17.99,2016-01-01
1_HARDERSFIELD_3276,1,HARDERSFIELD,3276,Gordons London Dry,1.75L,35,14.99,2016-01-01
1_HARDERSFIELD_3278,1,HARDERSFIELD,3278,Gordons London Dry,750mL,1,7.99,2016-01-01
1_HARDERSFIELD_3279,1,HARDERSFIELD,3279,Double Cross Vodka,750mL,8,29.99,2016-01-01
1_HARDERSFIELD_3282,1,HARDERSFIELD,3282,Skyy Watermelon Fresca Vodka,50mL,0,0.99,2016-01-01
1_HARDERSFIELD_3285,1,HARDERSFIELD,3285,Svedka Strawberry Colada,750mL,0,9.99,2016-01-01
1_HARDERSFIELD_3286,1,HARDERSFIELD,3286,Ciroc Snap Frost Vodka,1.75L,10,47.99,2016-01-01
1_HARDERSFIELD_3288,1,HARDERSFIELD,3288,Svedka Strwbry Lemonad Vodka,1.75L,0,22.99,2016-01-01
1_HARDERSFIELD_3294,1,HARDERSFIELD,3294,Leaf Vodka Alaskian Glacial,750mL,6,16.99,2016-01-01
1_HARDERSFIELD_3295,1,HARDERSFIELD,3295,Tito's Handmade Vodka,375mL,7,9.99,2016-01-01
1_HARDERSFIELD_3296,1,HARDERSFIELD,3296,Belvedere Pink Grapefruit,750mL,10,22.99,2016-01-01
1_HARDERSFIELD_3300,1,HARDERSFIELD,3300,Smirnoff Sorbet Mango/Pasion,50mL,18,0.99,2016-01-01
1_HARDERSFIELD_3305,1,HARDERSFIELD,3305,Canada House Canadian Whisky,1.75L,29,13.99,2016-01-01
1_HARDERSFIELD_3310,1,HARDERSFIELD,3310,Pinnacle Vodka,375mL,16,5.99,2016-01-01
1_HARDERSFIELD_3314,1,HARDERSFIELD,3314,El Jimador Blanco Tequila,1.75L,10,26.99,2016-01-01
1_HARDERSFIELD_3315,1,HARDERSFIELD,3315,Smirnoff Sorbet Rasp/Pomegra,50mL,0,0.99,2016-01-01
1_HARDERSFIELD_3316,1,HARDERSFIELD,3316,Ciroc Peach Vodka,375mL,7,15.49,2016-01-01
1_HARDERSFIELD_3324,1,HARDERSFIELD,3324,Milagro Silver Select Barrel,750mL,6,49.99,2016-01-01
1_HARDERSFIELD_3325,1,HARDERSFIELD,3325,Pinnacle Caramel Apple Vodka,750mL,11,9.99,2016-01-01
1_HARDERSFIELD_3326,1,HARDERSFIELD,3326,Jenkins Gin,1.75L,17,9.49,2016-01-01
