inventoryid,store,brand,productname,size,quantity,totalamount,unitprice,invoicedate,volume,classification,excisetax,vendorid,vendorname,size_ml
55_DRY GULCH_8790,55,8790,Bolla Valpolicella,1.5L,1,12.99,12.99,2016-01-30,1500,2,0.22,516,BANFI PRODUCTS CORP        ,1500.0
72_HARDERSFIELD_700,72,700,Hiram Walker Cr de Cacao Br,Liter,1,8.29,8.29,2016-01-22,1000,1,1.05,17035,PERNOD RICARD USA          ,
39_EASTHALLOW_8159,39,8159,Jose Cuervo Especial,1.75L,1,25.99,25.99,2016-01-06,1750,1,1.84,7245,PROXIMO SPIRITS INC.       ,1750.0
43_WOLFORD_3500,43,3500,Tito's Handmade Vodka,50mL,1,1.99,1.99,2016-01-13,50,1,0.05,4425,MARTIGNETTI COMPANIES,50.0
32_MOUNTMEND_37731,32,37731,Corbett Canyon Chard,3L,1,12.99,12.99,2016-01-12,3000,2,0.45,9815,WINE GROUP INC             ,3000.0
75_BARNCOMBE_822,75,822,Tanqueray,Liter,1,26.99,26.99,2016-01-19,1000,1,1.05,3960,DIAGEO NORTH AMERICA INC   ,
56_BEGGAR'S HOLE_3246,56,3246,Bentley's Vodka,1.75L,2,17.58,8.79,2016-01-18,1750,1,3.67,8004,SAZERAC CO INC             ,1750.0
1_HARDERSFIELD_8470,1,8470,1800 Reposado Gold Tequila,50mL,3,8.37,2.79,2016-01-25,50,1,0.16,7245,PROXIMO SPIRITS INC.       ,50.0
41_LARNWICK_5316,41,5316,Amaretto DiSaronno,50mL,1,2.29,2.29,2016-01-26,50,1,0.05,2555,DISARONNO INTERNATIONAL LLC,50.0
67_EANVERNESS_46119,67,46119,Phillips Lust Znfdl Lodi,750mL,1,54.99,54.99,2016-01-10,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
42_BLACK HOLLOW_8236,42,8236,Jim Beam,50mL,3,4.47,1.49,2016-01-06,50,1,0.16,12546,JIM BEAM BRANDS COMPANY    ,50.0
22_SHARNWICK_4194,22,4194,Calico Jack Coconut Rum,1.75L,2,25.98,12.99,2016-01-20,1750,1,3.67,12546,JIM BEAM BRANDS COMPANY    ,1750.0
73_DONCASTER_4089,73,4089,Capt Morgan White,1.75L,2,49.98,24.99,2016-01-07,1750,1,3.67,3960,DIAGEO NORTH AMERICA INC   ,1750.0
73_DONCASTER_16310,73,16310,Mollydooker Scooter Merlot,750mL,3,77.97,25.99,2016-01-03,750,2,0.34,90047,CRUSH WINES                ,750.0
34_PITMERDEN_8822,34,8822,Absolut 80 Proof,50mL,7,13.93,1.99,2016-01-17,50,1,0.37,17035,PERNOD RICARD USA          ,50.0
69_MOUNTMEND_6312,69,6312,Gallo Twin Valley Svgn Bl Ca,1.5L,3,29.97,9.99,2016-01-20,1500,2,0.68,3252,E & J GALLO WINERY         ,1500.0
56_BEGGAR'S HOLE_40096,56,40096,Black Box Cab Svgn,3L,1,26.99,26.99,2016-01-12,3000,2,0.45,1392,CONSTELLATION BRANDS INC   ,3000.0
34_PITMERDEN_11529,34,11529,Benvolio Pnt Grigio Friuli,750mL,1,5.79,5.79,2016-01-20,750,2,0.11,9552,M S WALKER INC             ,750.0
76_DONCASTER_3025,76,3025,Ciroc Snap Frost Vodka,375mL,1,11.99,11.99,2016-01-15,375,1,0.39,3960,DIAGEO NORTH AMERICA INC   ,375.0
60_IRRAGIN_24771,60,24771,Les Darons Lang J Carrel Rou,750mL,1,12.99,12.99,2016-01-17,750,2,0.11,10754,PERFECTA WINES             ,750.0
16_LUNDY_38133,16,38133,Il Bastardo Sangiovese Tosc,750mL,3,23.97,7.99,2016-02-06,750,2,0.34,10754,PERFECTA WINES             ,750.0
56_BEGGAR'S HOLE_1637,56,1637,Fleischmanns Preferred,1.75L,1,10.99,10.99,2016-01-05,1750,1,1.84,660,SAZERAC NORTH AMERICA INC. ,1750.0
32_MOUNTMEND_3489,32,3489,Tanqueray,1.75L,1,34.99,34.99,2016-01-28,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
32_MOUNTMEND_2589,32,2589,Jameson Irish Whiskey,1.75L,1,41.99,41.99,2016-01-28,1750,1,1.84,17035,PERNOD RICARD USA          ,1750.0
1_HARDERSFIELD_41787,1,41787,Ferrari-Carano Cab Svgn Alex,750mL,1,30.99,30.99,2016-01-02,750,2,0.11,2000,SOUTHERN WINE & SPIRITS NE ,750.0
10_HORNSEY_4959,10,4959,Bacardi Tangerine,50mL,2,1.98,0.99,2016-01-05,50,1,0.1,480,BACARDI USA INC            ,50.0
56_BEGGAR'S HOLE_3915,56,3915,Sauza Silver Tequila,750mL,1,14.99,14.99,2016-01-30,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
58_HARTLEPOOL_6234,58,6234,C Y Toro Front Cab/Merlot,1.5L,1,7.99,7.99,2016-01-29,1500,2,0.22,516,BANFI PRODUCTS CORP        ,1500.0
41_LARNWICK_6983,41,6983,J Lohr Seven Oaks Cab Svgn,750mL,5,79.95,15.99,2016-01-25,750,2,0.56,4425,MARTIGNETTI COMPANIES,750.0
73_DONCASTER_2924,73,2924,Speyburn 10-Yr Single Malt,750mL,1,23.99,23.99,2016-01-23,750,1,0.79,8004,SAZERAC CO INC             ,750.0
34_PITMERDEN_6266,34,6266,Gallo Fairbanks Sherry,1.5L,1,7.79,7.79,2016-01-27,1500,2,0.22,3252,E & J GALLO WINERY         ,1500.0
39_EASTHALLOW_4296,39,4296,Ronrico Silver Rum,1.75L,1,12.99,12.99,2016-01-06,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,1750.0
33_HORNSEY_18971,33,18971,Tenuta Guado Al Tasso Bructo,750mL,1,26.99,26.99,2016-01-20,750,2,0.11,8673,STE MICHELLE WINE ESTATES  ,750.0
34_PITMERDEN_46947,34,46947,Murphy-Goode Merlot Alexandr,750mL,1,14.99,14.99,2016-01-13,750,2,0.11,9552,M S WALKER INC             ,750.0
46_TYWARDREATH_7254,46,7254,Cribari Marsala,750mL,1,7.99,7.99,2016-01-03,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
34_PITMERDEN_31204,34,31204,Beringer Fndrs Est Svgn Bl,750mL,2,23.98,11.99,2016-01-30,750,2,0.22,9819,TREASURY WINE ESTATES      ,750.0
66_EANVERNESS_42765,66,42765,14 Hands Chard Wash,750mL,2,23.98,11.99,2016-01-17,750,2,0.22,8673,STE MICHELLE WINE ESTATES  ,750.0
8_ALNERWICK_39412,8,39412,Mirassou Merlot Cal,750mL,4,39.96,9.99,2016-01-20,750,2,0.45,3252,E & J GALLO WINERY         ,750.0
19_WINTERVALE_3476,19,3476,Reyka Vodka,750mL,1,19.99,19.99,2016-02-06,750,1,0.79,3664,WILLIAM GRANT & SONS INC   ,750.0
67_EANVERNESS_15528,67,15528,Cannonball Chard,750mL,1,13.99,13.99,2016-01-07,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
31_HORNSEY_8513,31,8513,Baileys Irish Cream Mini's 4,100mL 4 Pk,1,8.99,8.99,2016-01-22,100,1,0.1,3960,DIAGEO NORTH AMERICA INC   ,
57_LANTEGLOS_1385,57,1385,Makers Mark,750mL,2,53.98,26.99,2016-01-16,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    ,750.0
49_GARIGILL_17263,49,17263,Lincourt Courtney's Chard,750mL,1,10.99,10.99,2016-01-31,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
69_MOUNTMEND_7977,69,7977,M & R X Dry Vermouth,1.5L,1,10.49,10.49,2016-01-13,1500,1,1.57,480,BACARDI USA INC            ,1500.0
23_ARBINGTON_5031,23,5031,DeKuyper Peppermint Schnapp,1.75L,1,16.99,16.99,2016-01-15,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,1750.0
66_EANVERNESS_5134,66,5134,Dr McGillicuddy's Cherry,750mL,1,13.99,13.99,2016-01-19,750,1,0.79,8004,SAZERAC CO INC             ,750.0
64_CESTERFIELD_14383,64,14383,LaBelle Winery Granite Red,750mL,1,15.99,15.99,2016-01-07,750,2,0.11,90032,LABELLE VYDS AND WINERY    ,750.0
1_HARDERSFIELD_8897,1,8897,Moet & Chandon Brut Imprl Ro,750mL,1,57.99,57.99,2016-01-24,750,2,0.11,8112,MOET HENNESSY USA INC      ,750.0
60_IRRAGIN_15503,60,15503,Opici Sangria,3L,1,13.99,13.99,2016-01-09,3000,2,0.45,9165,ULTRA BEVERAGE COMPANY LLP ,3000.0
21_BALERNO_3637,21,3637,Zhenka Vodka Plastic,750mL,1,5.29,5.29,2016-01-25,750,1,0.79,9552,M S WALKER INC             ,750.0
69_MOUNTMEND_4234,69,4234,Bacardi Pineapple Fusion,750mL,1,13.99,13.99,2016-01-09,750,1,0.79,480,BACARDI USA INC            ,750.0
38_GOULCREST_6918,38,6918,Franzia Tap Cab Svgn,5L,1,15.99,15.99,2016-01-10,5000,2,0.75,9815,WINE GROUP INC             ,5000.0
68_SOLARIS_6523,68,6523,Franzia Burgundy Tap Red,5L,1,14.99,14.99,2016-01-05,5000,2,0.75,9815,WINE GROUP INC             ,5000.0
32_MOUNTMEND_3804,32,3804,Svedka Vodka,750mL,1,9.99,9.99,2016-01-16,750,1,0.79,1392,CONSTELLATION BRANDS INC   ,750.0
33_HORNSEY_20781,33,20781,Steele Clear Lake Merlot Cty,750mL,1,14.99,14.99,2016-01-30,750,2,0.11,9552,M S WALKER INC             ,750.0
54_GUTHRAM_5382,54,5382,Ice 101 Peppermint Schnapps,750mL,2,25.98,12.99,2016-01-28,750,1,1.57,8004,SAZERAC CO INC             ,750.0
52_GRAYCOTT_4410,52,4410,Cruzan Mango Flavored Rum,750mL,1,9.99,9.99,2016-01-30,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
36_LEWES_3371,36,3371,Skyy Infusions Georgia Peach,50mL,5,4.95,0.99,2016-01-08,50,1,0.26,11567,CAMPARI AMERICA            ,50.0
25_CAERSHIRE_2122,25,2122,Canadian Club 1858,750mL,1,10.99,10.99,2016-01-10,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
61_AETHELNEY_5197,61,5197,Southern Comfort,375mL,2,15.98,7.99,2016-01-30,375,1,0.79,1128,BROWN-FORMAN CORP          ,375.0
50_MOUNTMEND_4387,50,4387,Allens Coffee Brandy Trv,750mL,1,8.49,8.49,2016-01-18,750,1,0.79,9552,M S WALKER INC             ,750.0
45_VERITAS_2586,45,2586,Jameson Irish Whiskey,50mL,1,2.99,2.99,2016-01-05,50,1,0.05,17035,PERNOD RICARD USA          ,50.0
20_BREDWARDINE_5734,20,5734,Malibu Rum,1.75L,1,21.99,21.99,2016-01-16,1750,1,1.84,17035,PERNOD RICARD USA          ,1750.0
13_TARMSWORTH_3512,13,3512,Pinnacle Vodka,1.75L,3,50.97,16.99,2016-01-16,1750,1,5.51,12546,JIM BEAM BRANDS COMPANY    ,1750.0
30_CULCHETH_8082,30,8082,Baileys Irish Cream,1.75L,1,38.99,38.99,2016-01-30,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
53_HILLFAR_5219,53,5219,Sambuca Romana Black,750mL,3,59.97,19.99,2016-01-25,750,1,2.36,3960,DIAGEO NORTH AMERICA INC   ,750.0
2_ASHBORNE_4135,2,4135,Smirnoff Blueberry Vodka,50mL,4,3.96,0.99,2016-01-20,50,1,0.21,3960,DIAGEO NORTH AMERICA INC   ,50.0
55_DRY GULCH_29169,55,29169,Franzia Tap Merlot,5L,1,15.99,15.99,2016-01-23,5000,2,0.75,9815,WINE GROUP INC             ,5000.0
75_BARNCOMBE_2226,75,2226,Jim Beam Devils Cut,1.75L,3,110.97,36.99,2016-01-29,1750,1,5.51,12546,JIM BEAM BRANDS COMPANY    ,1750.0
60_IRRAGIN_42579,60,42579,Voga del Venezie Pnt Grigio,750mL,2,19.98,9.99,2016-01-31,750,2,0.22,9552,M S WALKER INC             ,750.0
79_BALLYMENA_42256,79,42256,Duboeuf Bjls Rd,187mL 4 Pk,16,84.64,5.29,2016-01-08,187,2,0.45,4425,MARTIGNETTI COMPANIES,
68_SOLARIS_7982,68,7982,M & R Sweet Vermouth,750mL,2,14.98,7.49,2016-01-23,750,1,1.57,480,BACARDI USA INC            ,750.0
74_PAENTMARWY_8053,74,8053,Seagrams 7 Crown,50mL,4,3.96,0.99,2016-01-22,50,1,0.21,3960,DIAGEO NORTH AMERICA INC   ,50.0
68_SOLARIS_1233,68,1233,Jack Daniels No 7 Black,1.75L,3,107.97,35.99,2016-01-16,1750,1,5.51,1128,BROWN-FORMAN CORP          ,1750.0
60_IRRAGIN_28156,60,28156,Sauvion Vouvray,750mL,2,25.98,12.99,2016-01-19,750,2,0.22,4425,MARTIGNETTI COMPANIES,750.0
28_LARNWICK_38133,28,38133,Il Bastardo Sangiovese Tosc,750mL,5,34.95,6.99,2016-01-23,750,2,0.56,10754,PERFECTA WINES             ,750.0
12_LEESIDE_13430,12,13430,Agua de Piedra Malbec Selccn,750mL,1,10.99,10.99,2016-01-25,750,2,0.11,7153,PINE STATE TRADING CO      ,750.0
35_HALIVAARA_8474,35,8474,1800 Reposado Gold Tequila,1.75L,1,41.99,41.99,2016-01-22,1750,1,1.84,7245,PROXIMO SPIRITS INC.       ,1750.0
38_GOULCREST_15891,38,15891,Farnum Hill Dooryard Cider,750mL,5,59.95,11.99,2016-01-15,750,2,0.56,90027,POVERTY LANE ORCHARDS      ,750.0
7_STANMORE_6694,7,6694,Lindemans Bin 65 Chard,750mL,1,7.99,7.99,2016-01-29,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
68_SOLARIS_3893,68,3893,Zhenka 80 Proof,1.75L,1,9.99,9.99,2016-01-28,1750,1,1.84,9552,M S WALKER INC             ,1750.0
5_SUTTON_2465,5,2465,Crown Royal Mini,50mL,2,5.98,2.99,2016-01-06,50,1,0.1,3960,DIAGEO NORTH AMERICA INC   ,50.0
44_PORTHCRAWL_4195,44,4195,Calico Jack Spiced Rum No 94,750mL,1,10.99,10.99,2016-01-15,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
32_MOUNTMEND_13430,32,13430,Agua de Piedra Malbec Selccn,750mL,4,43.96,10.99,2016-01-09,750,2,0.45,7153,PINE STATE TRADING CO      ,750.0
14_BROMWICH_4018,14,4018,Papa's Pilar Dark Rum,750mL,1,39.99,39.99,2016-01-29,750,1,0.79,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
71_CLARCTON_12994,71,12994,Acrobat Pnt Gris Oregon,750mL,1,11.99,11.99,2016-01-30,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
17_OLDHAM_42462,17,42462,Gnarly Head Old Vine Znfdl,750mL,4,39.96,9.99,2016-02-06,750,2,0.45,2242,DELICATO VINEYARDS INC     ,750.0
67_EANVERNESS_15892,67,15892,Red Guitar Sangria,750mL,1,4.99,4.99,2016-01-29,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
50_MOUNTMEND_25005,50,25005,Volpaia Chianti Clsco,750mL,1,17.99,17.99,2016-01-08,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
51_ABERDEEN_6595,51,6595,Bogle Merlot,750mL,1,11.99,11.99,2016-01-05,750,2,0.11,4425,MARTIGNETTI COMPANIES,750.0
31_HORNSEY_5111,31,5111,Dr McGillicuddy's Mentholmnt,50mL,7,6.93,0.99,2016-01-02,50,1,0.37,8004,SAZERAC CO INC             ,50.0
62_KILMARNOCK_7262,62,7262,Gallo Sweet Vermouth,750mL,1,5.49,5.49,2016-01-22,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
76_DONCASTER_29212,76,29212,R Mondavi Merlot Pvt Sel,750mL,1,8.99,8.99,2016-01-16,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
11_CARDEND_16757,11,16757,Cardamaro Vino Amaro,750mL,1,19.99,19.99,2016-02-05,750,2,0.11,653,STATE WINE & SPIRITS   ,750.0
42_BLACK HOLLOW_14551,42,14551,Cava Mistinguett Brut,750mL,4,31.96,7.99,2016-01-15,750,2,0.45,10754,PERFECTA WINES             ,750.0
62_KILMARNOCK_7293,62,7293,Chi Chi's Skinny Margarita,1.75L,2,17.98,8.99,2016-01-15,1750,1,3.67,660,SAZERAC NORTH AMERICA INC. ,1750.0
10_HORNSEY_4703,10,4703,Blue Chair Bay Coconut Rum,50mL,2,1.98,0.99,2016-01-06,50,1,0.1,6213,MHW LTD                    ,50.0
79_BALLYMENA_435,79,435,Il Tramonto Limoncello,750mL,1,19.99,19.99,2016-01-30,750,1,0.79,7153,PINE STATE TRADING CO      ,750.0
20_BREDWARDINE_2797,20,2797,Wicked 87 Whiskey,50mL,1,0.99,0.99,2016-01-28,50,1,0.05,7153,PINE STATE TRADING CO      ,50.0
13_TARMSWORTH_44719,13,44719,Cavit Prosecco Lunetta,750mL,1,9.99,9.99,2016-02-02,750,2,0.11,6785,PALM BAY INTERNATIONAL INC ,750.0
53_HILLFAR_3840,53,3840,Smirnoff Raspberry Vodka,1.75L,1,17.99,17.99,2016-01-03,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
10_HORNSEY_5401,10,5401,Jagermeister Liqueur,200mL,4,23.96,5.99,2016-02-15,200,1,0.84,3089,SIDNEY FRANK IMPORTING CO  ,200.0
11_CARDEND_6958,11,6958,Vendange Svgn Bl,1.5L,3,23.97,7.99,2016-02-07,1500,2,0.68,1392,CONSTELLATION BRANDS INC   ,1500.0
76_DONCASTER_22438,76,22438,Ch Fuisse Pouilly Fuisse 12,750mL,2,99.98,49.99,2016-01-29,750,2,0.22,9744,FREDERICK WILDMAN & SONS   ,750.0
66_EANVERNESS_5977,66,5977,Absinthe Ordinaire,750mL,1,22.99,22.99,2016-01-17,750,1,0.79,6213,MHW LTD                    ,750.0
41_LARNWICK_2689,41,2689,Black Velvet Reserve,1.75L,2,37.98,18.99,2016-01-19,1750,1,3.67,1392,CONSTELLATION BRANDS INC   ,1750.0
73_DONCASTER_2752,73,2752,Johnnie Walker Black Label,750mL,1,34.99,34.99,2016-01-26,750,1,0.79,3960,DIAGEO NORTH AMERICA INC   ,750.0
72_HARDERSFIELD_35913,72,35913,Stone Cellars Cab Svgn,1.5L,2,15.98,7.99,2016-01-28,1500,2,0.45,9819,TREASURY WINE ESTATES      ,1500.0
41_LARNWICK_28579,41,28579,R M Woodbridge Merlot Cal,750mL,1,7.99,7.99,2016-01-25,750,2,0.11,1392,CONSTELLATION BRANDS INC   ,750.0
25_CAERSHIRE_4412,25,4412,Pusser's British Navy Rum,750mL,1,17.99,17.99,2016-01-02,750,1,0.79,8320,SHAW ROSS INT L IMP LTD    ,750.0
69_MOUNTMEND_3423,69,3423,Beefeater,1.75L,2,53.98,26.99,2016-01-05,1750,1,3.67,17035,PERNOD RICARD USA          ,1750.0
67_EANVERNESS_18507,67,18507,Cakebread Cab Svgn,750mL,1,64.99,64.99,2016-01-10,750,2,0.11,4692,KOBRAND CORPORATION        ,750.0
48_NORFOLK_6542,48,6542,Melini Borghi D'Elsa Chiant,750mL,1,6.49,6.49,2016-01-21,750,2,0.11,9744,FREDERICK WILDMAN & SONS   ,750.0
72_HARDERSFIELD_7371,72,7371,Placido Sangiovese Primever,1.5L,1,10.99,10.99,2016-01-17,1500,2,0.22,516,BANFI PRODUCTS CORP        ,1500.0
1_HARDERSFIELD_5042,1,5042,Tequila Rose Liqueur,750mL,1,13.99,13.99,2016-01-27,750,1,0.79,5992,MCCORMICK DISTILLING CO    ,750.0
72_HARDERSFIELD_2373,72,2373,Jim Beam Maple,750mL,1,14.49,14.49,2016-01-22,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
72_HARDERSFIELD_5680,72,5680,Barenjager Honey Liqueur,50mL,2,3.98,1.99,2016-01-05,50,1,0.1,6355,NICHE W & S                ,50.0
25_CAERSHIRE_4882,25,4882,Arrow Coffee Brandy,750mL,1,6.49,6.49,2016-01-03,750,1,0.79,8352,LUXCO INC                  ,750.0
50_MOUNTMEND_4989,50,4989,Martell VS Cognac,750mL,2,45.98,22.99,2016-01-22,750,1,1.57,17035,PERNOD RICARD USA          ,750.0
51_ABERDEEN_6499,51,6499,Kinky Liqueur,750mL,2,33.98,16.99,2016-01-24,750,1,1.57,7153,PINE STATE TRADING CO      ,750.0
34_PITMERDEN_5365,34,5365,Kahlua,750mL,7,132.93,18.99,2016-01-01,750,1,5.51,17035,PERNOD RICARD USA          ,750.0
3_HORNSEY_1867,3,1867,Jack Daniels Tennessee Honey,50mL,4,11.96,2.99,2016-01-15,50,1,0.21,1128,BROWN-FORMAN CORP          ,50.0
13_TARMSWORTH_8265,13,8265,Cockburns Fine Ruby Port,750mL,1,9.99,9.99,2016-01-12,750,2,0.11,7240,"PREMIUM PORT WINES, INC.   ",750.0
15_WANBORNE_8203,15,8203,Grand Marnier,50mL,1,2.99,2.99,2016-01-30,50,1,0.05,8112,MOET HENNESSY USA INC      ,50.0
16_LUNDY_18856,16,18856,Barefoot Refresh Sweet White,750mL,1,5.99,5.99,2016-01-01,750,2,0.11,3252,E & J GALLO WINERY         ,750.0
35_HALIVAARA_2114,35,2114,Black Velvet Canadian Whisky,1.75L,3,38.97,12.99,2016-01-17,1750,1,5.51,1392,CONSTELLATION BRANDS INC   ,1750.0
60_IRRAGIN_3910,60,3910,Hornitos Plata Tequila,375mL,1,11.49,11.49,2016-01-25,375,1,0.39,12546,JIM BEAM BRANDS COMPANY    ,375.0
44_PORTHCRAWL_3502,44,3502,Pinnacle Vodka,750mL,1,10.99,10.99,2016-01-29,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
59_CLAETHORPES_35914,59,35914,Stone Cellars Chard,1.5L,3,23.97,7.99,2016-01-14,1500,2,0.68,9819,TREASURY WINE ESTATES      ,1500.0
76_DONCASTER_34850,76,34850,Bargetto Chaucer's Hney Mead,750mL,1,13.99,13.99,2016-01-22,750,2,0.11,7153,PINE STATE TRADING CO      ,750.0
11_CARDEND_1276,11,1276,Jack Daniels Single Barrel,50mL,1,4.99,4.99,2016-02-26,50,1,0.05,1128,BROWN-FORMAN CORP          ,50.0
6_GOULCREST_15875,6,15875,Ranga Ranga Svgn Bl,750mL,1,11.99,11.99,2016-01-04,750,2,0.11,10754,PERFECTA WINES             ,750.0
54_GUTHRAM_3913,54,3913,Svedka Vodka,1.75L,4,71.96,17.99,2016-01-04,1750,1,7.35,1392,CONSTELLATION BRANDS INC   ,1750.0
62_KILMARNOCK_5285,62,5285,Jacquin Triple Sec,750mL,1,7.99,7.99,2016-01-03,750,1,0.79,4380,CHARLES JACQUIN ET CIE INC ,750.0
34_PITMERDEN_5921,34,5921,RumChata Liqueur,750mL,2,47.98,23.99,2016-01-23,750,1,1.57,6213,MHW LTD                    ,750.0
11_CARDEND_1346,11,1346,Knob Creek Bourbon,750mL,2,59.98,29.99,2016-01-07,750,1,1.57,12546,JIM BEAM BRANDS COMPANY    ,750.0
15_WANBORNE_7996,15,7996,Stock Italian Sweet Vermouth,750mL,1,6.49,6.49,2016-02-24,750,2,0.11,8352,LUXCO INC                  ,750.0
15_WANBORNE_5058,15,5058,Capt Morgan Long Isl Tea RTD,1.75L,3,53.97,17.99,2016-01-09,1750,1,5.51,3960,DIAGEO NORTH AMERICA INC   ,1750.0
67_EANVERNESS_4478,67,4478,Myers Original Dark Rum,750mL,2,35.98,17.99,2016-01-30,750,1,1.57,3960,DIAGEO NORTH AMERICA INC   ,750.0
10_HORNSEY_44413,10,44413,Spasso Pnt Grigio Veneto,750mL,1,4.99,4.99,2016-02-29,750,2,0.11,9552,M S WALKER INC             ,750.0
50_MOUNTMEND_3728,50,3728,Absolut Citron,1.75L,2,51.98,25.99,2016-01-06,1750,1,3.67,17035,PERNOD RICARD USA          ,1750.0
68_SOLARIS_15552,68,15552,Senda 66 Tempranillo,750mL,1,11.99,11.99,2016-01-09,750,2,0.11,10754,PERFECTA WINES             ,750.0
78_EASTHAVEN_24002,78,24002,Corbett Canyon Chard,1.5L,4,27.96,6.99,2016-01-26,1500,2,0.9,9815,WINE GROUP INC             ,1500.0
7_STANMORE_11141,7,11141,C K Mondavi Chard,1.5L,4,39.96,9.99,2016-01-20,1500,2,0.9,2000,SOUTHERN WINE & SPIRITS NE ,1500.0
75_BARNCOMBE_4343,75,4343,Cruzan Blueberry Lemonade,750mL,1,9.99,9.99,2016-01-24,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
15_WANBORNE_8345,15,8345,R M Woodbridge Cab Svgn Cal,750mL,6,47.94,7.99,2016-01-15,750,2,0.68,1392,CONSTELLATION BRANDS INC   ,750.0
4_EANVERNESS_32989,4,32989,Barefoot Cab Svgn Cal,1.5L,1,10.99,10.99,2016-01-11,1500,2,0.22,3252,E & J GALLO WINERY         ,1500.0
37_PAETHSMOUTH_2114,37,2114,Black Velvet Canadian Whisky,1.75L,1,12.99,12.99,2016-01-09,1750,1,1.84,1392,CONSTELLATION BRANDS INC   ,1750.0
70_KELD_497,70,497,Capt Morgan Spiced Rum,Liter,2,39.98,19.99,2016-01-16,1000,1,2.1,3960,DIAGEO NORTH AMERICA INC   ,
74_PAENTMARWY_6876,74,6876,Sutter Home Clsc Chard,187mL 4 Pk,1,5.99,5.99,2016-01-15,187,2,0.03,8892,TRINCHERO FAMILY ESTATES   ,
74_PAENTMARWY_3197,74,3197,Pinnacle Vodka 100 Proof,1.75L,1,20.99,20.99,2016-01-03,1750,1,1.84,12546,JIM BEAM BRANDS COMPANY    ,1750.0
14_BROMWICH_4130,14,4130,Kraken Black Spiced Rum,375mL,1,10.99,10.99,2016-01-10,375,1,0.39,7245,PROXIMO SPIRITS INC.       ,375.0
59_CLAETHORPES_16326,59,16326,Black Box Cab Svgn,500mL,1,4.99,4.99,2016-01-09,500,2,0.08,1392,CONSTELLATION BRANDS INC   ,500.0
13_TARMSWORTH_6655,13,6655,Carlo Rossi Paisano Calif,1.5L,6,41.94,6.99,2016-02-25,1500,2,1.35,3252,E & J GALLO WINERY         ,1500.0
13_TARMSWORTH_1663,13,1663,Jim Beam Maple,50mL,2,1.98,0.99,2016-01-30,50,1,0.1,12546,JIM BEAM BRANDS COMPANY    ,50.0
20_BREDWARDINE_5058,20,5058,Capt Morgan Long Isl Tea RTD,1.75L,1,17.99,17.99,2016-01-29,1750,1,1.84,3960,DIAGEO NORTH AMERICA INC   ,1750.0
18_FURNESS_5404,18,5404,E & J Superior Rsv VSOP,375mL,1,5.49,5.49,2016-02-09,375,1,0.39,3252,E & J GALLO WINERY         ,375.0
38_GOULCREST_4343,38,4343,Cruzan Blueberry Lemonade,750mL,1,9.99,9.99,2016-01-14,750,1,0.79,12546,JIM BEAM BRANDS COMPANY    ,750.0
76_DONCASTER_14622,76,14622,La Marca Prosecco,750mL,9,125.91,13.99,2016-01-22,750,2,1.01,3252,E & J GALLO WINERY         ,750.0
22_SHARNWICK_6590,22,6590,Almaden B/B Wh Znfdl Cal,5L,3,50.97,16.99,2016-01-09,5000,2,2.25,9815,WINE GROUP INC             ,5000.0
23_ARBINGTON_4370,23,4370,Ron Virgin White,1.75L,1,12.99,12.99,2016-01-17,1750,1,1.84,9552,M S WALKER INC             ,1750.0
62_KILMARNOCK_3625,62,3625,Absolut 80 Proof,750mL,4,71.96,17.99,2016-01-09,750,1,3.15,17035,PERNOD RICARD USA          ,750.0
11_CARDEND_4447,11,4447,Patron XO Cafe Dark Cocoa,750mL,2,51.98,25.99,2016-01-03,750,1,1.57,9165,ULTRA BEVERAGE COMPANY LLP ,750.0
73_DONCASTER_37904,73,37904,Trapiche Broquel Mndz Malbec,750mL,2,23.98,11.99,2016-01-07,750,2,0.22,9815,WINE GROUP INC             ,750.0
